Date,Close,High,Low,Open,Volume
1993-01-01,24.17539405822754,24.192588506348613,24.072227369501107,24.192588506348613,1003200
1993-02-01,24.433307647705078,24.828779903790384,23.55639090595071,24.19258540487055,5417600
1993-03-01,24.86316680908203,25.224250144483637,24.33013902825109,24.51927791822336,3019200
1993-04-01,24.341384887695312,25.01513507266346,23.926769389253376,25.01513507266346,2697200
1993-05-01,24.99785614013672,25.239715149094504,24.23772783,24.375932974245273,1808000
1993-06-01,24.911470413208008,25.326085732151828,24.445028179396207,25.084226796101266,3438000
1993-07-01,24.96624755859375,25.17502454166213,24.58348975630172,25.122830295895035,6117600
1993-08-01,25.92315101623535,25.92315101623535,24.96625618006559,25.00105235592631,5440100
1993-09-01,25.575180053710938,25.94053976876395,24.94884911362006,25.836151278748805,4369900
1993-10-01,26.242225646972656,26.41729052787307,25.61199207573115,25.69952451618136,6972900
1993-11-01,25.962114334106445,26.329750477745172,25.506945775315636,26.207205096532263,5351100
1993-12-01,26.102169036865234,26.41728576568051,25.97962364232596,26.102169036865234,6128000
1994-01-01,27.197416305541992,27.250295274379727,26.175089574679106,26.280847512354576,6837100
1994-02-01,26.404232025146484,27.232669211516235,26.263221440232485,27.162163919059235,10974400
1994-03-01,25.15277099609375,26.686261589408502,24.553475821694878,26.40424033086786,14705500
1994-04-01,25.581512451171875,25.732200500953553,24.58874412319847,24.58874412319847,11429000
1994-05-01,25.989255905151367,26.060167926720673,25.058535622054197,25.581511781127844,8545100
1994-06-01,25.22694969177246,26.414725959761746,24.96102963177486,25.927205849766143,10352700
1994-07-01,26.21459961,26.294903011854363,25.340184782377467,25.518636787887164,5452100
1994-08-01,27.213947296142578,27.401322015230775,26.07185377027168,26.232460672347273,7945800
1994-09-01,26.366294860839844,27.24963265820808,26.116461948452866,27.124716202014593,6309300
1994-10-01,27.280710220336914,27.40638641088799,25.85338777050685,26.544606818537762,5437600
1994-11-01,26.194530487060547,27.19096396343605,25.62898716263121,27.164033328939418,4807300
1994-12-01,26.176551818847656,26.661302778455948,25.673847119994615,26.221436166959535,8568500
1995-01-01,27.272010803222656,27.35344680097614,26.457650825687807,26.466699269882636,2768000
1995-02-01,28.384981155395508,28.466417186762598,27.217731372467224,27.30821585176399,5954800
1995-03-01,29.01837158203125,29.470793964039842,27.92350941757045,28.3578349,4538000
1995-04-01,30.03967857,30.085165670176554,29.148131480872596,29.16632631949986,4395200
1995-05-01,31.23145103,31.23145103,29.92142221165787,30.012396435469537,6986200
1995-06-01,31.67723274230957,32.113909127039854,30.712905726030183,31.094997562669185,5790900
1995-07-01,32.88815689086914,33.20843666025712,31.744300571626333,31.899865031043355,5508200
1995-08-01,33.03457260131836,33.26334387972084,32.458068979744105,32.93391323882127,8100100
1995-09-01,34.25163269042969,34.49870564865614,32.997966198688076,33.025418749602125,7431600
1995-10-01,34.33324432373047,34.84842698239309,33.716865071401976,34.43444091739634,8944800
1995-11-01,35.86038589477539,36.03517997686896,34.28723915593327,34.31483822152699,8841700
1995-12-01,36.20078659057617,36.97356068806243,35.66720447564519,35.90639645820046,9816800
1996-01-01,37.72050476074219,37.72976132632765,35.332310839693974,36.37830275085075,10661800
1996-02-01,37.84083938598633,39.507021159341896,37.58165555457546,37.683477774058304,14850400
1996-03-01,38.32218933105469,39.081227863698764,36.73005972599638,38.29441962864088,19022700
1996-04-01,38.91079330444336,39.161830680601064,36.96757806,38.67835128948253,14999300
1996-05-01,39.794090270996094,40.723858735271705,37.53475290280637,38.90151254529151,17453200
1996-06-01,39.93354415893555,40.76103785629184,39.366385557376745,39.80337661103681,16871800
1996-07-01,38.341163635253906,40.50030766249517,36.11659100112655,40.247940178791644,28811500
1996-08-01,39.0795784,40.28533434645465,38.32247582841393,38.37855750035795,15593100
1996-09-01,41.05176544189453,41.42564308708483,38.50939745460052,38.56547910137906,17216100
1996-10-01,42.597145080566406,43.066897452429735,41.15030777522737,41.31002358166089,14791800
1996-11-01,45.70689010620117,46.11087700744817,42.249513835064064,42.68168587,24089700
1996-12-01,44.40099334716797,46.045126617534955,43.217217392503734,45.65053463264688,34952800
1997-01-01,47.376014709472656,48.15019430416711,43.95829503533374,44.94018135055597,43623700
1997-02-01,47.82921600341797,49.54751788115624,46.60185751931921,47.564861868381314,30028800
1997-03-01,45.54444885253906,49.42479057691583,45.46891908661445,47.583752532503496,37514300
1997-04-01,48.581024169921875,48.94116441932824,44.467843426701805,45.64303792476468,57679300
1997-05-01,51.65166473388672,51.89807634546122,48.10712847508422,48.65681591628888,37473400
1997-06-01,53.56612014770508,54.892952564668754,50.997751683439674,51.76541901039723,47332500
1997-07-01,58.03709793,58.47475473497735,53.82227262215537,53.88887257060067,65359700
1997-08-01,55.03057098388672,58.836281287060075,54.402628783863115,58.15125343248887,99046800
1997-09-01,57.46627426147461,58.684102590194605,54.95450333348963,55.22090328039713,78642200
1997-10-01,56.26371765136719,60.19797625156462,51.56552534239355,58.21174861,137440500
1997-11-01,58.44096755981445,59.16670506545921,55.060558651942834,56.95129583770154,93157400
1997-12-01,59.31950378417969,60.50360205675507,56.45474989891666,58.80384808483234,79162300
1998-01-01,60.32251739501953,61.08949155134527,55.77819551878951,59.70893806995893,104582300
1998-02-01,64.50254821777344,64.75181490232488,61.18538387720424,61.30043004,69733700
1998-03-01,67.45535278320312,68.43324448074245,63.29451948190833,64.57920073161687,87316900
1998-04-01,68.51451873779297,69.80289166943264,66.22621458,67.87994699534359,118629400
1998-05-01,67.09154510498047,69.72597952154175,66.19737575921332,68.76450710673836,116264800
1998-06-01,69.72596740722656,70.57206298525136,66.14929064557622,67.05307455846635,141993600
1998-07-01,69.00258636,73.60340181,68.71322690277484,70.41080241300621,155280200
1998-08-01,59.26081466674805,69.39804061315954,58.64351451396942,69.00258270278573,268542800
1998-09-01,62.810340881347656,66.05116928063094,57.79477312055208,59.299443448790754,269370500
1998-10-01,68.14289855957031,68.70430312156678,57.127753877639776,61.96744837760926,249152700
1998-11-01,71.93720245361328,74.16346141006255,68.25903548208838,68.64621095,136369000
1998-12-01,76.38971710205078,77.28022064657544,70.46593265369104,71.93719937942744,156026700
1999-01-01,79.34325408935547,79.86767706620066,74.81767802991365,76.68229305869654,141419000
1999-02-01,76.79886627197266,80.08136713185212,75.41011591,79.98425172179651,164624900
1999-03-01,79.79003906,82.43157881724683,75.69176782535601,76.85715301127372,148191100
1999-04-01,83.02089691,85.66884297,79.82778549194336,80.80129507,156755700
1999-05-01,81.12257385253906,85.98038788739049,79.74992499699988,83.13773919364978,182566900
1999-06-01,85.35734558105469,85.66886874010963,79.75966381678616,81.07390214,160692200
1999-07-01,82.95909118652344,88.89589997,82.84191732891536,85.61503195897335,115669100
1999-08-01,82.52945709228516,86.72818716205357,79.36576280715734,82.95909458779634,142925900
1999-09-01,80.45938110351562,85.38068305450734,78.46742555192372,83.07626388697948,167972700
1999-10-01,85.85614776611328,86.28699522296877,77.35670248087304,80.17679492574538,196829400
1999-11-01,87.2857666,89.61625936027596,84.34817068721779,85.54279302571797,125042200
1999-12-01,92.04470062,92.47554815738759,87.10953795088099,87.30537773943962,121529300
2000-01-01,87.67668151855469,93.13438807076209,84.81040397674793,93.13438807076209,156770800
2000-02-01,86.34173583984375,90.81784219989021,83.37729698,87.79450720231497,186938300
2000-03-01,94.46940612792969,97.84611807,84.83007146275648,86.45953129414013,247594900
2000-04-01,91.38325500488281,96.43167303390553,84.08125465881098,94.55204760789512,229246200
2000-05-01,89.94649505615234,93.51876832807612,85.97074188,92.30832862436641,161024000
2000-06-01,91.50135803222656,93.94191909826144,90.06457611431894,90.49757888409933,127146000
2000-07-01,90.27658844,95.94846763060643,89.33949535626631,91.81539392471313,106780100
2000-08-01,96.17541504,96.64889400540865,90.03991676682692,90.67122205528845,102365500
2000-09-01,90.67116547,96.96448613,89.72420812,96.74747507545199,113203000
2000-10-01,90.47373199,92.24384873165356,82.37470625,91.31429022170765,178392400
2000-11-01,83.71955871582031,91.32413474375154,82.11755440304417,90.02868681181528,156699900
2000-12-01,83.02740478515625,88.32786797772935,79.44761434539606,84.29318704009908,165416700
2001-01-01,86.98471069335938,88.05122413893781,80.98078245390765,83.79785034,181296400
2001-02-01,78.68742370605469,87.60047032,77.32253879,87.03547023784746,178607000
2001-03-01,74.07859039,81.09983481632179,68.58728945443853,78.75095699774381,318187200
2001-04-01,80.62435150146484,81.01263736194298,69.57399029187226,74.02978094553293,251839700
2001-05-01,80.17237854003906,84.08074191621915,78.57466329898064,79.61222391816787,208040000
2001-06-01,78.04000091552734,82.26027006859668,76.63961130711134,80.33154975494767,203578200
2001-07-01,77.46398926,79.35989487,74.52757197832435,78.38960228161311,196892900
2001-08-01,72.86786651611328,78.67686752570819,71.52094368852876,77.85977791603834,269599600
2001-09-01,66.66944885253906,74.15731109,59.87738758753492,72.67633543373809,419156100
2001-10-01,67.79104614257812,71.62911996,65.88802644514293,66.57362566,512612000
2001-11-01,73.07721710205078,74.90334556904735,67.72697429185862,68.30364772578201,372515000
2001-12-01,73.23739624023438,75.60815857926393,71.76367593964034,72.82090964323932,308403900
2002-01-01,72.76921081542969,75.86180425436966,69.69590513,74.01010672197226,349380000
2002-02-01,71.46401215,72.84635792,69.32298391357386,72.71133388153827,424492600
2002-03-01,73.63071442,75.80389099306664,71.69543627797192,71.83045534075383,385578100
2002-04-01,69.54736328,74.21566254638768,68.75426584,73.65469586619514,404461000
2002-05-01,69.13468933105469,71.73320369814296,67.63877013385509,69.61828396272756,452626500
2002-06-01,63.80872344970703,69.37973534097753,61.37785567051065,69.05088949,534883500
2002-07-01,58.98503875732422,64.57554641845432,50.26280873850205,64.17437392429404,1124248800
2002-08-01,59.38621139526367,62.860869518418966,54.060995960983234,58.803865768953195,936191200
2002-09-01,52.92219161987305,60.38914519,52.34631782462526,58.70681708741494,1013828600
2002-10-01,57.533599853515625,59.33396501,50.091670710652956,53.57540480492804,1344248100
2002-11-01,61.08232116699219,61.71276868729294,56.83814225200199,57.42309841598219,818243400
2002-12-01,57.34514236450195,62.42775574688959,56.617195923294744,62.05078321704678,728285900
2003-01-01,56.20958328,61.30410958480761,54.96208056209265,58.03185603715826,911319900
2003-02-01,55.45194625854492,56.69944914967094,52.90468275872791,56.261843710448964,862248300
2003-03-01,55.347442626953125,58.70460369012059,51.84658903077072,55.687080429187574,1156870200
2003-04-01,60.27251434326172,60.85615593656735,55.68207169728055,55.90503365284206,996114200
2003-05-01,63.577667236328125,63.669475744719406,59.34790166068198,60.279105104758386,881509900
2003-06-01,64.02354431152344,67.00733341525185,63.39399862215689,63.95796757364483,867970200
2003-07-01,65.41322326660156,67.06517347432026,63.46510894754954,64.00478923173786,895260500
2003-08-01,66.76241302490234,67.01250700134594,63.40586032658093,65.28158272432346,772702000
2003-09-01,65.78174591064453,68.90794203,65.32104533242101,66.89401519111809,818513400
2003-10-01,69.56886291503906,70.01151257712667,66.19942687326662,66.22585439585112,831700900
2003-11-01,70.32865142822266,70.65898798737923,68.45895033420365,69.86618226161778,630654200
2003-12-01,73.51967621,73.67823628603583,70.00489673973911,70.59289519112735,678350400
2004-01-01,75.32743835449219,77.33209648,73.5020026,74.17243172208548,737674000
2004-02-01,76.34964752197266,77.39844413,74.86274913612502,75.47343891155434,676976900
2004-03-01,75.07518005371094,77.64406738286932,72.25405256005072,76.62182293038553,1125003900
2004-04-01,73.91287994384766,76.87712522872765,73.87291425907969,75.31839745539371,968620900
2004-05-01,75.17854309082031,75.44499295602546,71.98115487257546,74.18602255209231,981083900
2004-06-01,76.29093933105469,76.56405174566122,74.51905774443428,74.91206722054801,721880400
2004-07-01,74.10245513916016,76.48250867086438,72.34416156349629,76.38222464244956,954619200
2004-08-01,74.28299713134766,74.63064278820146,71.26113174964938,73.66792899194344,922892000
2004-09-01,74.71751403808594,76.04124664,73.81496815392799,74.17598242706589,790891900
2004-10-01,75.99529266357422,76.98887297528276,73.41064806390234,75.36423981227658,1044071300
2004-11-01,79.14382934570312,79.98299965017608,75.99526072431605,76.23694218,961601700
2004-12-01,81.38493347167969,81.91686175,79.27068977497488,79.56022022450176,909170200
2005-01-01,79.93601227,82.37143468913598,78.72506498718604,82.23613028937177,1184211500
2005-02-01,81.60696411132812,82.31053138,79.89540376742757,79.99688076,1025608400
2005-03-01,79.80071258544922,83.37943287972844,78.64388699609275,81.73552174509864,1330548800
2005-04-01,78.61322021484375,80.99708692,77.11906173048827,80.56921035135427,1633318500
2005-05-01,81.14649963378906,81.66945352196353,77.96801258675099,78.83054840225171,1334647300
2005-06-01,80.94274139404297,82.81723492137858,80.65070075457258,81.17365459745237,1089322900
2005-07-01,84.37891387939453,84.99262935179227,80.64207780750014,81.45354112973334,1176306400
